Name,Coating,Material,Thickness,State,Weight,Art,Fgrp,Pos,VariantRule,Row.PartNumber,Row.Quantity,Row.HasCADMatch,Row.CADPart.Id,Row.CADPart.CarryOver,Row.CADPart.KdpMatch
Solid Insulation 2_Protective Tape,UC,Certoplast 525 SE,1mm,0,62.383,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405559,True,Wrong Revision Inherited
Braid Insulation 1_Mica Tape,UC,Mica,0.5mm,0,2.71426,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405559,True,Wrong Revision Inherited
Braid Insulation 2_ Protective Tape,UC,Certoplast 525 SE,1mm,0,6.09338,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405559,True,Wrong Revision Inherited
Polyester Braided Sleeve,UC,Polyester (PET),1mm,0,0.637119,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405559,True,Wrong Revision Inherited
PartBody,,Mixed material,,0,0.0,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405568,True,Wrong Revision Inherited
PartBody,,Steel,,0,0.0,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405577,True,Wrong Revision Inherited
PartBody,NA,PA66,0.8mm,0,4.23785,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405591,True,Wrong Revision Inherited
Tape 1,,BASF Ultramid B3WG6,,0,0.326688,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405596,True,Wrong Revision Inherited
Tape 2,,BASF Ultramid B3WG6,,0,0.326688,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405596,True,Wrong Revision Inherited
Tape 3,,BASF Ultramid B3WG6,,0,0.326688,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405596,True,Wrong Revision Inherited
Tape 4,,BASF Ultramid B3WG6,,0,0.326688,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405596,True,Wrong Revision Inherited
Clip Tape 1,,BASF Ultramid B3WG6,,0,0.367362,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405596,True,Wrong Revision Inherited
Clip Tape 2,,BASF Ultramid B3WG6,,0,0.367361,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405596,True,Wrong Revision Inherited
PartBody,,PP GF30,1.5mm,0,14.0288,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405614,True,Wrong Revision Inherited
Foam Pads,UC,EPDM Foam preliminary,2.6mm,0,1.728,840,3113,50,V536310VSOPCHPLV,31320548,1.0,True,id405623,True,Wrong Revision Inherited
PartBody,,Screw property class 8.8,,0,0.0,840,3113,50,V536310VSOPCHPLV,30746820,16.0,True,id406186,True,OK
PartBody,,Screw property class 8.8,,0,0.0,840,3113,50,V536310VSOPCHPLV,30746820,16.0,True,id406191,True,OK
PartBody,,Screw property class 8.8,,0,0.0,840,3113,50,V536310VSOPCHPLV,30746820,16.0,True,id406196,True,OK
PartBody,,Screw property class 8.8,,0,0.0,840,3113,50,V536310VSOPCHPLV,30746820,16.0,True,id406201,True,OK
PartBody,,Screw property class 8.8,,0,0.0,840,3113,50,V536310VSOPCHPLV,30746820,16.0,True,id406206,True,OK
PartBody,,Screw property class 8.8,,0,0.0,840,3113,50,V536310VSOPCHPLV,30746820,16.0,True,id406211,True,OK
PartBody,,Screw property class 8.8,,0,0.0,840,3113,50,V536310VSOPCHPLV,30746820,16.0,True,id406216,True,OK
PartBody,,Screw property class 8.8,,0,0.0,840,3113,50,V536310VSOPCHPLV,30746820,16.0,True,id406221,True,OK
PartBody,,Screw property class 8.8,,0,0.0,840,3113,50,V536310VSOPCHPLV,30746820,16.0,True,id406226,True,OK
PartBody,,Screw property class 8.8,,0,0.0,840,3113,50,V536310VSOPCHPLV,30746820,16.0,True,id406231,True,OK
PartBody,,Screw property class 8.8,,0,0.0,840,3113,50,V536310VSOPCHPLV,30746820,16.0,True,id406236,True,OK
PartBody,,Screw property class 8.8,,0,0.0,840,3113,50,V536310VSOPCHPLV,30746820,16.0,True,id406241,True,OK
PartBody,,Screw property class 8.8,,0,0.0,840,3113,50,V536310VSOPCHPLV,30746820,16.0,True,id406246,True,OK
PartBody,,Screw property class 8.8,,0,0.0,840,3113,50,V536310VSOPCHPLV,30746820,16.0,True,id406251,True,OK
PartBody,,Screw property class 8.8,,0,0.0,840,3113,50,V536310VSOPCHPLV,30746820,16.0,True,id406256,True,OK
PartBody,,Screw property class 8.8,,0,0.0,840,3113,50,V536310VSOPCHPLV,30746820,16.0,True,id406261,True,OK
PartBody,,Steel,,0,7.27514876196768,840,3113,50,V536310VSOPCHPLV,30640948,2.0,True,id405259,True,OK
PartBody,,Steel,,0,7.27514876196768,840,3113,50,V536310VSOPCHPLV,30640948,2.0,True,id405268,True,OK
Housing,,PBT-GF30 preliminary,,1,3.8814753799342,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410080,True,OK Inherited
TPA,,PBT-GF30 preliminary,,1,3.8814753799342,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410080,True,OK Inherited
Housing,,PBT-GF30 preliminary,,1,0.872021924786575,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410089,True,OK Inherited
TPA,,PBT-GF30 preliminary,,1,0.872021924786575,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410089,True,OK Inherited
Housing,,PBT-GF30 preliminary,,1,1.39794301550518,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410098,True,OK Inherited
TPA,,PBT-GF30 preliminary,,1,1.39794301550518,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410098,True,OK Inherited
PartBody,,PBT-GF30 preliminary,,0,3.20110707646399,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410107,True,OK Inherited
PartBody,,Copper preliminary,,0,1.07,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410116,True,OK Inherited
PartBody,,Copper preliminary,,0,1.07,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410125,True,OK Inherited
PartBody,,PBT-GF30 preliminary,,0,1.25741652536061,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410130,True,OK Inherited
PartBody,,PBT-GF30 preliminary,,0,1.8686569834595,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410135,True,OK Inherited
PartBody,,PBT-GF30 preliminary,,0,1.25741652536061,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410140,True,OK Inherited
PartBody,,PBT-GF30 preliminary,,0,1.25741652536061,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410145,True,OK Inherited
PartBody,,PBT-GF30 preliminary,,0,1.25741652536061,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410150,True,OK Inherited
PartBody,,PBT-GF30 preliminary,,0,1.24991958830081,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410155,True,OK Inherited
PartBody,,PA preliminary,,0,1.3081007154993,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410160,True,OK Inherited
PartBody,,PBT-GF30 preliminary,,0,3.05494237495199,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410169,True,OK Inherited
PartBody,,PA preliminary,,0,1.20337161462552,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410178,True,OK Inherited
PartBody,,PA preliminary,,0,1.20337161462552,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410183,True,OK Inherited
PartBody,,PA preliminary,,0,1.9693696270436,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410188,True,OK Inherited
PartBody,,PA preliminary,,0,1.20337161462552,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410197,True,OK Inherited
PartBody,,PA preliminary,,0,1.64650745655274,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410202,True,OK Inherited
PartBody,,PA preliminary,,0,1.64650745655274,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410207,True,OK Inherited
PartBody,,PA preliminary,,0,1.64650745655274,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410212,True,OK Inherited
PartBody,,PA preliminary,,0,1.64650745655274,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410217,True,OK Inherited
PartBody,,PA preliminary,,0,1.32433,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410222,True,OK Inherited
PartBody,,PA preliminary,,0,1.32433,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410227,True,OK Inherited
PartBody,,PA preliminary,,0,1.32433,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410232,True,OK Inherited
PartBody,,PA preliminary,,0,1.32433,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410237,True,OK Inherited
PartBody,,PA preliminary,,0,1.32433,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410242,True,OK Inherited
PartBody,,PA preliminary,,0,1.32433,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410247,True,OK Inherited
PartBody,,PA preliminary,,0,1.32433,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410252,True,OK Inherited
Housing,,PBT-GF30 preliminary,,0,1.26847,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410280,True,OK Inherited
Seal,,Sealing rubber,,0,0.0672826,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410280,True,OK Inherited
PartBody,,PA preliminary,,0,1.20337161462552,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410289,True,OK Inherited
PartBody,,PBT-GF30 preliminary,,0,0.529054,840,3113,57,V536310VSOPCHPLV,32290437,1.0,True,id410294,True,OK Inherited
PartBody,,Copper preliminary,,0,0.858188086136916,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409483,True,OK Inherited
PartBody,,Copper preliminary,,0,0.858188086136916,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409492,True,OK Inherited
PartBody,,PA preliminary,,0,1.82285083996595,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409497,True,OK Inherited
PartBody,,PBT-GF30 preliminary,,0,3.12221,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409502,True,OK Inherited
PartBody,,PA preliminary,,0,0.870235826416217,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409511,True,OK Inherited
PartBody,,PA preliminary,,0,1.82285083996595,840,3113,57,V536310VSOPCHPLV,32290436,1.0,True,id409520,True,OK Inherited
